gwascat_population	1000g_superpopulation	confidence
European	EUR	High
African American or Afro-Caribbean	AFR	High
Native American	AMR	Medium
Asian unspecified	EAS	Low
Hispanic or Latin American	AMR	High
East Asian	EAS	High
Central Asian	EUR	Low
Oceanian	EAS	Medium
South East Asian	EAS	Medium
Other admixed ancestry	EUR	Low
African unspecified	AFR	High
Sub-Saharan African	AFR	High
"Greater Middle Eastern (Middle Eastern / North African / Persian)"	EUR	Low
Aboriginal Australian	EAS	Low
Other	EUR	Low
South Asian	SAS	High
NR	EUR	Low
